Type,Keyword,Original,Goal,Targets,HigherLevel,TargetLevel,NonHumanSubject,GoalTopic
Challenge,extreme poverty eradication,[eradicate] x [extreme] x [poverty],1,1_1,,1,,poverty
Challenge,poverty eradication,[eradicate] x [extreme] x [poverty],1,1_1,1,1,,poverty
Challenge,extreme poverty,[eradicate] x [extreme] x [poverty],1,1_1,1,1,,poverty
Challenge,poverty,[eradicate] x [extreme] x [poverty],1,1_1,2,1,,poverty
Challenge,income,[eradicate] x [extreme] x [poverty],1,1_1,3,1,,poverty
Challenge,finance,[eradicate] x [extreme] x [poverty],1,1_1,4,1,,poverty
Challenge,economics,[eradicate] x [extreme] x [poverty],1,1_1,4,1,,poverty
Challenge,poverty,poverty,1,1_2,,1,,poverty
Challenge,income,poverty,1,1_2,1,1,,poverty
Challenge,finance,poverty,1,1_2,2,1,,poverty
Challenge,economics,poverty,1,1_2,2,1,,poverty
Challenge,social protection,[social protection] x [systems],1,1_3,1,1,,poverty
Challenge,social protection systems,[social protection] x [systems],1,1_3,,1,,poverty
Challenge,systems,[social protection] x [systems],1,1_3,2,1,,poverty
Challenge,protection,[social protection] x [measures],1,1_3,2,1,,poverty
Challenge,social,[social protection] x [measures],1,1_3,2,1,,poverty
Challenge,social coverage,[coverage] x [social],1,1_3,,1,,poverty
Challenge,coverage,[coverage] x [social],1,1_3,1,1,,poverty
Challenge,social,[coverage] x [social],1,1_3,1,1,,poverty
Challenge,social protection measures,[social protection] x [measures],1,1_3,,1,,poverty
Challenge,social protection,[social protection] x [measures],1,1_3,1,1,,poverty
Challenge,protection,[social protection] x [measures],1,1_3,2,1,,poverty
Challenge,social,[social protection] x [measures],1,1_3,2,1,,poverty
Challenge,microfinance accessibility,[access to] x [microfinance],1,1_4,,1,,poverty
Challenge,microfinance,[access to] x [microfinance],1,1_4,1,1,,poverty
Challenge,accessibility,[access to] x [microfinance],1,1_4,1,1,,poverty
Challenge,finance,[access to] x [microfinance],1,1_4,2,1,,poverty
Challenge,financial service accessibility,[access to] x [financial services],1,1_4,,1,,poverty
Challenge,financial services,[access to] x [financial services],1,1_4,1,1,,poverty
Challenge,finance,[access to] x [financial services],1,1_4,2,1,,poverty
Challenge,accessibility,[access to] x [financial services],1,1_4,1,1,,poverty
Challenge,new technology accessibility,[access to] x [new technology],1,1_4,,1,,poverty
Challenge,new technology,[access to] x [new technology],1,1_4,1,1,,poverty
Challenge,accessibility,[access to] x [new technology],1,1_4,1,1,,poverty
Challenge,technology,[access to] x [new technology],1,1_4,2,1,,poverty
Challenge,inheritance accessibility,[access to] x [inheritance],1,1_4,,1,,poverty
Challenge,inheritance,[access to] x [inheritance],1,1_4,1,1,,poverty
Challenge,accessibility,[access to] x [inheritance],1,1_4,1,1,,poverty
Challenge,property control accessibility,[access to] x [property] x [control],1,1_4,,1,,poverty
Challenge,property control,[access to] x [property] x [control],1,1_4,1,1,,poverty
Challenge,property,[access to] x [property] x [control],1,1_4,2,1,,poverty
Challenge,control,[access to] x [property] x [control],1,1_4,2,1,,poverty
Challenge,accessibility,[access to] x [property] x [control],1,1_4,1,1,,poverty
Challenge,natural ressource accessibility,[access to] x [natural ressources],1,1_4,,1,,poverty
Challenge,natural ressources,[access to] x [natural ressources],1,1_4,1,1,,poverty
Challenge,ressources,[access to] x [natural ressources],1,1_4,2,1,,poverty
Challenge,accessibility,[access to] x [natural ressources],1,1_4,1,1,,poverty
Challenge,basic services accessibility,[access to] x [basic services],1,1_4,,1,,poverty
